"Treatment"
"SRR9091064","erythromycin"
"SRR9091075","erythromycin"
"SRR9091076","erythromycin"
"SRR9091077","erythromycin"
"SRR9091078","erythromycin"
"SRR9091079","erythromycin"
"SRR9091080","erythromycin"
"SRR9091087","erythromycin"
"SRR9091088","erythromycin"
"SRR9091090","erythromycin"
"SRR9091125","erythromycin"
"SRR9091136","erythromycin"
"SRR9091137","erythromycin"
"SRR9091138","erythromycin"
"SRR9091139","erythromycin"
"SRR9091056","control"
"SRR9091059","control"
"SRR9091061","control"
"SRR9091062","control"
"SRR9091066","control"
"SRR9091067","control"
"SRR9091068","control"
"SRR9091069","control"
"SRR9091130","control"
"SRR9091131","control"
"SRR9091132","control"
"SRR9091133","control"
"SRR9091145","control"
